Date,Player,Runs,NotOut,Minutes,BallsFaced,Fours,Sixes,StrikeRate,Innings,Participation,Opposition,Ground
18-10-1991,SLV Raju,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Pakistan,Sharjah
18-10-1991,KS More,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Pakistan,Sharjah
18-10-1991,J Srinath,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Pakistan,Sharjah
18-10-1991,VG Kambli,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Pakistan,Sharjah
18-10-1991,M Prabhakar,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Pakistan,Sharjah
19-10-1991,SLV Raju,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,West Indies,Sharjah
19-10-1991,A Kumble,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,West Indies,Sharjah
19-10-1991,KS More,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,West Indies,Sharjah
22-10-1991,M Prabhakar,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,West Indies,Sharjah
22-10-1991,SLV Raju,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,West Indies,Sharjah
22-10-1991,A Kumble,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,West Indies,Sharjah
22-10-1991,KS More,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,West Indies,Sharjah
22-10-1991,VG Kambli,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,West Indies,Sharjah
22-10-1991,N Kapil Dev,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,West Indies,Sharjah
23-10-1991,SLV Raju,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Pakistan,Sharjah
23-10-1991,A Kumble,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Pakistan,Sharjah
23-10-1991,J Srinath,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Pakistan,Sharjah
10-11-1991,J Srinath,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,South Africa,Kolkata
10-11-1991,SLV Raju,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,South Africa,Kolkata
12-11-1991,J Srinath,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,South Africa,Gwalior
12-11-1991,KS More,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,South Africa,Gwalior
12-11-1991,SLV Raju,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,South Africa,Gwalior
12-11-1991,M Prabhakar,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,South Africa,Gwalior
14-11-1991,J Srinath,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,South Africa,New Delhi
14-11-1991,M Prabhakar,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,South Africa,New Delhi
14-11-1991,PK Amre,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,South Africa,New Delhi
14-11-1991,CS Pandit,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,South Africa,New Delhi
14-11-1991,DB Vengsarkar,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,South Africa,New Delhi
